Language,Training Hours,CER
aae_Latn,1.6,22.6
aal_Latn,7.1,42.7
abb_Latn,8.1,9.2
abi_Latn,43.7,2.3
abk_Cyrl,33.4,4.9
abn_Latn,6.9,48.7
abp_Latn,44.9,0.2
abr_Latn,5.5,22.4
abs_Latn,6.6,9.1
aca_Latn,10.7,3.2
acd_Latn,28.4,1.3
ace_Latn,24.3,1.1
acf_Latn,29.1,0.6
ach_Latn,15.6,1.9
acm_Arab,2.0,14.7
acn_Latn,43.7,1.1
acr_Latn,23.3,1.2
acu_Latn,30.6,0.7
acw_Arab,17.8,4.6
ade_Latn,25.2,1.7
adh_Latn,18.9,1.3
adj_Latn,21.6,3.2
adx_Tibt,56.0,2.6
ady_Cyrl,30.4,7.7
aeb_Arab,16.4,20.1
aec_Arab,2.0,8.9
aeu_Latn,48.5,0.8
afb_Arab,14.6,41.8
afo_Latn,7.6,40.4
afr_Latn,244.7,4.7
agd_Latn,29.9,1.1
agg_Latn,1.7,6.1
agn_Latn,23.3,0.5
agr_Latn,26.6,1.1
agu_Latn,21.9,3.5
agx_Cyrl,1.5,6.5
aha_Latn,24.0,2.7
ahk_Latn,21.8,1.2
ahl_Latn,7.2,24.4
ahs_Latn,7.1,37.2
aia_Latn,45.1,1.4
ajg_Latn,29.5,6.5
aka_Latn,45.1,2.5
akb_Latn,49.4,0.4
ake_Latn,49.7,1.2
akp_Latn,37.3,1.9
ala_Latn,7.9,21.9
alj_Latn,21.4,0.3
aln_Latn,6.7,33.3
alo_Latn,6.6,14.5
alp_Latn,43.9,1.4
als_Latn,136.1,4.6
alt_Cyrl,35.2,0.8
alz_Latn,20.3,0.9
ame_Latn,71.7,0.5
amf_Latn,45.0,1.0
amh_Ethi,188.0,5.7
ami_Latn,105.2,0.5
amk_Latn,63.3,1.4
amu_Latn,7.0,3.7
anc_Latn,6.8,24.8
ank_Latn,6.8,28.1
ann_Latn,20.5,3.1
anp_Deva,5.3,45.7
anw_Latn,6.9,40.7
any_Latn,41.9,2.7
aom_Latn,5.1,22.2
aoz_Latn,3.0,3.8
apb_Latn,25.9,0.7
apc_Arab,6.2,11.5
apd_Arab,6.8,14.9
apr_Latn,33.2,0.7
arb_Arab,1146.2,2.4
arg_Latn,13.9,2.2
arl_Latn,61.0,0.7
arq_Arab,5.9,28.3
ars_Arab,14.3,38.9
ary_Arab,8.0,4.2
arz_Arab,5.7,9.9
asa_Latn,33.3,0.9
asg_Latn,43.2,2.5
asm_Beng,48.4,5.2
ast_Latn,8.1,4.8
ata_Latn,31.0,2.0
atb_Latn,47.5,1.0
atg_Latn,38.1,3.8
ati_Latn,39.5,2.0
atq_Latn,57.1,0.4
ava_Cyrl,37.9,0.8
avn_Latn,46.0,3.5
avu_Latn,34.5,2.0
awa_Deva,22.8,2.2
awb_Latn,20.9,1.9
awo_Latn,6.4,40.9
ayl_Arab,15.0,10.6
ayo_Latn,59.0,1.4
ayp_Arab,4.2,7.8
ayr_Latn,23.4,0.8
ayz_Latn,8.9,3.2
aze_Arab,17.9,0.5
aze_Cyrl,18.8,0.6
aze_Latn,28.3,2.9
azg_Latn,47.6,3.3
azz_Latn,36.9,0.8
bag_Latn,8.1,6.2
bak_Cyrl,222.5,1.9
bam_Latn,15.1,1.0
ban_Latn,34.8,0.4
bao_Latn,23.2,0.9
bas_Latn,59.8,9.7
bav_Latn,21.3,2.4
bax_Latn,7.5,8.0
bba_Latn,24.8,2.3
bbb_Latn,69.4,1.4
bbc_Latn,116.0,0.4
bbj_Latn,8.9,17.7
bbl_Geor,8.2,10.0
bbo_Latn,34.3,2.8
bbu_Latn,6.4,31.5
bcc_Arab,10.8,1.0
bcc_Latn,10.8,1.0
bce_Latn,7.0,16.2
bci_Latn,8.3,10.7
bcl_Latn,32.8,0.4
bcs_Latn,7.3,31.4
bcw_Latn,25.1,2.2
bcy_Latn,6.1,21.6
bcz_Latn,7.1,41.4
bda_Latn,6.3,17.4
bde_Latn,6.3,32.3
bdg_Latn,14.4,1.7
bdh_Latn,58.7,1.5
bdm_Latn,6.6,34.3
bdq_Latn,21.9,0.9
bdu_Latn,43.2,1.6
bdv_Orya,0.8,3.1
beb_Latn,7.0,34.3
beh_Latn,34.9,3.1
bel_Cyrl,483.0,1.6
bem_Latn,79.7,0.8
ben_Beng,342.1,2.8
bep_Latn,49.8,0.4
bew_Latn,13.9,15.7
bex_Latn,24.0,1.3
bfa_Latn,46.9,0.6
bfd_Latn,6.9,29.8
bfo_Latn,39.5,1.7
bft_Arab,13.4,5.1
bfy_Deva,42.9,0.5
bfz_Deva,16.6,2.4
bgc_Deva,21.7,2.3
bgp_Arab,8.4,24.5
bgq_Deva,35.6,2.2
bgr_Latn,20.1,1.2
bgt_Latn,28.6,0.5
bgw_Deva,40.9,0.3
bha_Deva,2.7,2.1
bhb_Deva,6.4,21.9
bhh_Cyrl,7.0,1.1
bho_Deva,5.5,16.5
bhp_Latn,6.7,13.3
bhr_Latn,0.8,25.4
bht_Deva,24.8,2.6
bhz_Latn,42.0,0.6
bib_Latn,18.0,3.2
